#Vazao01	Vazao02	Vazao03	Vazao04	Vazao05	Vazao06	Vazao07	Vazao08	Vazao09	Vazao10	Vazao11	Vazao12	Vazao13	Vazao14	Vazao15	Vazao16	Vazao17	Vazao18	Vazao19	Vazao20	Vazao21	Vazao22	Vazao23	Vazao24	Vazao25	Vazao26	Vazao27	Vazao28	Vazao29	Vazao30	Vazao31	#dias	mes	Ano
90.672	70.967	70.967	75.776	74.164	66.239	64.682	64.682	67.806	104.465	20.686	184.199	168.151	180.152	213.155	26.519	254.112	24.098	230.175	217.379	221.623	238.809	258.528	234.482	225.889	221.623	260.744	301.431	343.577	382.192	0	31	11	2012
49.655	49.655	43.941	41.152	45.352	67.806	66.239	64.682	64.682	61.597	54.056	49.655	52.578	5.855	79.027	79.027	77.397	10.799	133.472	104.465	90.672	87.303	80.665	74.164	64.682	61.597	64.682	82.312	95.786	90.672	90.672	31	10	2012
3.841	39.775	39.775	3.841	35.718	35.718	35.718	35.718	35.718	35.718	35.718	34.391	33.077	33.077	33.077	33.077	31.776	31.776	30.489	30.489	31.776	3.841	46.776	52.578	57.042	57.042	49.655	41.152	43.941	45.352	0	31	9	2012
60.068	5.855	55.544	55.544	54.056	52.578	52.578	52.578	51.112	49.655	49.655	4.821	46.776	46.776	45.352	43.941	43.941	4.254	41.152	39.775	3.841	3.841	3.841	35.718	35.718	35.718	35.718	35.718	35.718	35.718	3.841	31	8	2012
115.129	10.799	104.465	104.465	10.097	97.506	95.786	92.369	90.672	87.303	87.303	85.631	83.967	83.967	87.303	88.984	87.303	83.967	80.665	77.397	77.397	80.665	80.665	79.027	77.397	74.164	70.967	67.806	64.682	63.134	61.597	31	7	2012
20.686	211.051	20.269	190.312	186.231	180.152	170.136	164.198	158.314	156.365	152.486	148.632	144.803	14.1	139.108	137.223	129.749	127.897	126.052	127.897	133.472	142.898	146.714	148.632	154.423	166.172	164.198	154.423	144.803	129.749	0	31	6	2012
329.372	331.729	357.934	377.308	338.825	319.988	299.132	283.162	26.519	251.911	243.156	232.326	221.623	232.326	26.742	234.482	225.889	247.524	26.742	287.702	317.653	317.653	274.138	256.318	251.911	243.156	238.809	260.744	247.524	217.379	20.686	31	5	2012
558.759	540.596	52.271	499.296	476.376	45.673	437.466	421.833	401.888	399.412	437.466	484.913	505.103	528.641	508.018	493.519	484.913	499.296	48.206	499.296	451.187	41.183	392.008	37.244	37.244	367.589	348.346	33.409	324.672	329.372	0	31	4	2012
703.744	614.902	558.759	490.643	453.955	451.187	448.427	465.103	543.604	493.519	45.673	442.931	424.344	39.694	389.548	377.308	37.244	429.376	462.305	51.681	48.206	459.514	52.271	51.681	476.376	476.376	459.514	424.344	424.344	555.712	459.514	31	3	2012
537.596	564.874	567.944	65.043	643.902	574.105	493.519	437.466	409.338	379.748	382.192	387.092	382.192	37.244	365.169	387.092	487.774	670.195	741.518	783.763	758.989	727.676	673.516	640.649	614.902	630.937	676.844	731.125	755.479	0	0	31	2	2012
401.888	421.833	470.724	505.103	496.403	48.206	465.103	442.931	38.464	360.342	392.008	442.931	465.103	39.694	377.308	453.955	470.724	479.214	513.872	479.214	442.931	442.931	51.681	561.813	583.405	602.212	602.212	580.298	502.195	487.774	48.206	31	1	2012
608.542	528.641	46.791	440.195	437.466	431.898	401.888	367.589	343.577	306.044	278.641	269.654	283.162	306.044	315.323	45.673	479.214	558.759	589.644	528.641	448.427	437.466	431.898	426.858	429.376	431.898	426.858	437.466	431.898	394.472	39.694	31	12	2011
160.269	156.365	152.486	230.175	338.825	319.988	29.226	225.889	204.772	254.112	331.729	382.192	382.192	362.753	382.192	382.192	37.244	315.323	303.735	399.412	48.206	476.376	508.018	502.195	493.519	493.519	552.674	640.649	660.278	666.882	0	31	11	2011
60.068	67.806	97.506	144.803	139.108	137.223	118.742	97.506	83.967	70.967	64.682	61.597	60.068	70.967	85.631	14.1	14.1	200.613	184.199	196.476	367.589	426.858	519.757	394.472	274.138	310.674	24.098	223.753	208.953	184.199	170.136	31	10	2011
4.254	43.941	41.152	41.152	41.152	39.775	3.841	3.841	37.058	35.718	35.718	3.841	3.841	37.058	37.058	35.718	33.077	33.077	33.077	31.776	30.489	30.489	29.215	27.956	27.956	27.956	27.956	27.956	29.215	31.776	0	31	9	2011
67.806	70.967	77.397	80.665	80.665	83.967	83.967	79.027	72.561	67.806	66.239	64.682	63.134	61.597	5.855	5.855	55.544	55.544	52.578	51.112	49.655	49.655	46.776	46.776	46.776	46.776	45.352	43.941	43.941	4.254	4.254	31	8	2011
137.223	127.897	126.052	122.383	118.742	115.129	115.129	111.545	111.545	115.129	113.333	111.545	10.799	104.465	10.097	97.506	97.506	94.073	92.369	90.672	87.303	83.967	80.665	80.665	79.027	80.665	79.027	74.164	70.967	70.967	69.382	31	7	2011
285.429	276.387	269.654	254.112	247.524	238.809	230.175	221.623	213.155	208.953	204.772	200.613	192.361	188.269	182.172	176.128	170.136	168.151	162.231	160.269	158.314	156.365	156.365	154.423	152.486	150.556	148.632	144.803	144.803	14.1	0	31	6	2011
720.801	666.882	605.373	602.212	614.902	637.404	653.705	727.676	758.989	776.647	640.649	555.712	531.618	589.644	608.542	595.912	595.912	592.774	558.759	621.293	637.404	621.293	602.212	543.604	499.296	431.898	401.888	357.934	329.372	310.674	294.546	31	5	2011
734.582	640.649	621.293	589.644	640.649	713.955	713.955	68.018	696.973	666.882	720.801	769.561	734.582	878.983	823.434	794.492	748.484	676.844	65.043	627.715	618.094	555.712	52.271	513.872	525.672	51.681	487.774	453.955	442.931	445.675	487.774	31	3	2011
144.803	158.314	24.098	353.132	370.012	528.641	45.673	357.934	343.577	437.466	589.644	700.355	586.521	476.376	470.724	510.941	476.376	41.183	367.589	324.672	301.431	315.323	331.729	37.244	350.737	362.753	431.898	429.376	431.898	41.183	37.244	31	1	2011
97.506	87.303	83.967	80.665	72.561	67.806	64.682	67.806	94.073	217.379	317.653	434.746	409.338	453.955	564.874	595.912	493.519	387.092	324.672	26.742	234.482	208.953	188.269	182.172	168.151	152.486	144.803	144.803	14.1	14.1	144.803	31	12	2010
64.682	63.134	60.068	5.855	55.544	5.855	64.682	67.806	64.682	67.806	70.967	67.806	70.967	77.397	90.672	94.073	99.234	115.129	10.097	94.073	88.984	83.967	80.665	10.097	104.465	109.764	106.224	104.465	97.506	10.097	0	31	11	2010
33.077	33.077	35.718	35.718	35.718	35.718	37.058	35.718	34.391	35.718	39.775	43.941	46.776	49.655	49.655	46.776	45.352	41.152	49.655	5.855	77.397	90.672	14.1	111.545	88.984	94.073	85.631	75.776	70.967	67.806	66.239	31	10	2010
41.152	39.775	3.841	37.058	3.841	37.058	37.058	35.718	35.718	35.718	35.718	35.718	33.077	33.077	33.077	33.077	33.077	34.391	33.077	34.391	33.077	31.776	30.489	31.776	33.077	30.489	30.489	30.489	30.489	30.489	0	31	9	2010
61.597	5.855	57.042	57.042	55.544	55.544	54.056	52.578	52.578	52.578	51.112	49.655	49.655	4.821	4.821	4.821	4.821	4.821	49.655	51.112	49.655	4.821	46.776	45.352	43.941	43.941	43.941	4.254	43.941	43.941	43.941	31	8	2010
109.764	10.799	104.465	10.097	10.097	99.234	97.506	97.506	94.073	92.369	90.672	88.984	90.672	87.303	85.631	82.312	80.665	80.665	79.027	77.397	75.776	74.164	70.967	70.967	67.806	64.682	66.239	64.682	61.597	61.597	60.068	31	7	2010
20.686	20.686	204.772	228.029	230.175	211.051	20.269	196.476	188.269	196.476	200.613	190.312	180.152	170.136	164.198	160.269	154.423	150.556	152.486	148.632	14.1	137.223	133.472	129.749	124.214	120.559	118.742	118.742	115.129	111.545	0	31	6	2010
39.694	401.888	392.008	37.244	357.934	348.346	338.825	34.596	353.132	33.409	315.323	303.735	29.226	283.162	276.387	26.742	256.318	247.524	243.156	234.482	228.029	228.029	258.528	283.162	283.162	283.162	271.894	260.744	243.156	228.029	215.264	31	5	2010
656.988	663.576	586.521	51.681	465.103	510.941	627.715	787.332	878.983	748.484	724.235	720.801	663.576	608.542	558.759	528.641	487.774	448.427	431.898	431.898	445.675	473.546	513.872	546.619	567.944	640.649	630.937	583.405	52.271	487.774	499.296	31	3	2010
552.674	459.514	401.888	367.589	338.825	350.737	611.718	81.979	812.525	751.978	947.843	871.479	741.518	630.937	589.644	534.603	589.644	52.271	499.296	48.206	465.103	45.673	459.514	476.376	564.874	583.405	614.902	634.167	0	0	0	31	2	2010
137.223	166.172	186.231	204.772	217.379	236.643	256.318	278.641	322.328	319.988	306.044	285.429	26.519	256.318	269.654	294.546	310.674	287.702	26.742	234.482	234.482	225.889	285.429	303.735	367.589	29.226	283.162	301.431	387.092	558.759	849.148	31	12	2009
190.312	180.152	170.136	160.269	133.472	122.383	118.742	109.764	10.097	97.506	97.506	104.465	10.799	133.472	208.953	230.175	217.379	204.772	156.365	174.125	184.199	184.199	168.151	152.486	133.472	124.214	118.742	116.932	109.764	118.742	0	31	11	2009
74.164	70.967	70.967	70.967	67.806	64.682	67.806	64.682	67.806	72.561	74.164	97.506	97.506	104.465	97.506	97.506	122.383	115.129	106.224	109.764	99.234	90.672	77.397	74.164	80.665	92.369	144.803	120.559	115.129	133.472	198.542	31	10	2009
87.303	79.027	74.164	97.506	90.672	79.027	74.164	67.806	61.597	63.134	67.806	74.164	77.397	80.665	77.397	72.561	70.967	70.967	74.164	75.776	74.164	74.164	72.561	74.164	77.397	83.967	87.303	87.303	83.967	79.027	0	31	9	2009
10.097	97.506	94.073	92.369	90.672	87.303	85.631	83.967	80.665	80.665	79.027	77.397	77.397	74.164	70.967	70.967	67.806	67.806	66.239	66.239	64.682	67.806	77.397	83.967	97.506	92.369	87.303	83.967	92.369	95.786	94.073	31	8	2009
194.416	188.269	184.199	180.152	176.128	170.136	164.198	160.269	156.365	152.486	148.632	146.714	144.803	14.1	14.1	137.223	129.749	126.052	122.383	122.383	118.742	116.932	115.129	118.742	122.383	122.383	118.742	116.932	115.129	10.799	104.465	31	7	2009
70.714	849.148	783.763	700.355	653.705	580.298	493.519	448.427	404.367	377.308	357.934	338.825	319.988	310.674	299.132	287.702	283.162	274.138	26.519	258.528	247.524	243.156	234.482	228.029	221.623	215.264	208.953	204.772	20.269	200.613	0	31	6	2009
416.824	38.464	401.888	379.748	37.244	37.244	37.244	367.589	37.244	357.934	379.748	362.753	357.934	379.748	401.888	552.674	552.674	614.902	68.018	630.937	663.576	713.955	656.988	827.085	894.078	886.515	841.764	741.518	0	0	0	31	2	2009
310.674	287.702	296.837	296.837	29.226	283.162	260.744	269.654	245.338	211.051	204.772	198.542	184.199	176.128	172.128	192.361	26.519	278.641	294.546	276.387	278.641	32.702	296.837	285.429	301.431	324.672	392.008	519.757	534.603	442.931	448.427	31	1	2009
484.913	52.271	528.641	531.618	673.516	640.649	602.212	564.874	476.376	389.548	343.577	299.132	274.138	26.519	26.742	29.226	296.837	296.837	301.431	362.753	387.092	41.183	389.548	404.367	416.824	431.898	421.833	41.183	39.694	362.753	329.372	31	12	2008
83.967	82.312	80.665	79.027	77.397	95.786	10.799	137.223	156.365	178.137	174.125	137.223	131.607	137.223	156.365	14.1	129.749	14.1	137.223	133.472	208.953	194.416	20.269	170.136	176.128	225.889	24.098	362.753	362.753	470.724	0	31	11	2008
10.097	115.129	126.052	122.383	120.559	10.097	85.631	83.967	74.164	67.806	64.682	64.682	61.597	55.544	52.578	49.655	46.776	46.776	70.967	113.333	118.742	122.383	122.383	115.129	111.545	104.465	97.506	87.303	80.665	80.665	83.967	31	10	2008
